Model,Category,Image,Chinese,Chinese (trans.),English
Qwen-VL,Animal,0,马，草，田野，吃草,"horse, grass, field, grazing","horse, grass, field, eat, nature"
Qwen-VL,Animal,1,"horse, beach, sunset, rocks","horse, beach, sunset, rocks","horse, beach, sunset"
Qwen-VL,Animal,2,"白色天鹅, 湖, 反射, 天空, 白云","white swan, lake, reflection, sky, white clouds","swan, water, reflection, lake, nature, animal"
Qwen-VL,Animal,3,"袋鼠, 跳跃, 水, 草地, 自然环境","kangaroo, jumping, water, meadow, natural environment","kangaroo, jumping, water, grass"
Qwen-VL,Animal,4,"狐狸, 森林, 秋天, 自然, 动物, 生物, 红色, 尾巴, 耳朵, 眼睛, 鼻子, 脚, 树, 叶子, 地面, 湿, 潮湿, 气候, 天气, 景观, 环境, 生态, 观察, 探索, 寻找食物, 狩猎, 生存, 奇妙, 美丽, 惊奇, 观赏, 拍摄, 摄影, 自然摄影","fox, forest, autumn, nature, animal, creature, red, tail, ears, eyes, nose, feet, tree, leaves, ground, wet, humid, climate, weather, landscape, environment, ecology, observation, exploration, search for food , hunting, survival, fantastic, beautiful, amazing, viewing, shooting, photography, nature photography","fox, forest, autumn"
Qwen-VL,Animal,5,"沙漠,骆驼,沙子,阳光明媚,晴朗的天空","desert, camel, sand, sunny, clear sky","camel, desert, sand, animal, outdoors, nature, wildlife"
Qwen-VL,Animal,6,"白色拉布拉多, 公园, 草地, 夕阳, 快乐, 狗","white labrador, park, meadow, sunset, happy, dog","yellow labrador, park, sunset"
Qwen-VL,Animal,7,"老虎,雪,森林,冬季,野生动物","tiger, snow, forest, winter, wildlife","tiger, snow, log"
Qwen-VL,Animal,8,这张图片展示了一只熊在水中捕捉到一条鱼,This image shows a bear catching a fish in the water,"brown bear, salmon, water, river"
Qwen-VL,Animal,9,"草原,长颈鹿,山,天空","grassland, giraffe, mountains, sky","giraffe, field, grass, mountains, clouds"
Qwen-VL,Object,0,"茶壶,茶杯,木桌,壁炉","teapot, tea cup, wooden table, fireplace","teapot, cup, saucer, fireplace, table"
Qwen-VL,Object,1,自行车，咖啡馆，城市，城市生活，户外，街道，建筑，窗户，植物，椅子，桌子，招牌，雨天，阴天,"bicycle, cafe, city, city life, outdoors, street, building, window, plant, chair, table, sign, rainy day, cloudy day",cafe bike bicycle rain wet city urban architecture building window table chair plant people person food drink menu sign board black white green blue yellow red pink purple brown gray grey silver gold black and white black&white blackandwhite black white and the color photo
Qwen-VL,Object,2,"笔记本电脑, 植物, 窗户, 城市景观, 桌子, 手机, 瓶子","laptop, plant, window, city view, table, mobile phone, bottle","laptop, desk, plant, window"
Qwen-VL,Object,3,"花束, 花瓶, 桌子, 厨房柜台, 烧水壶, 椅子, 杯子, 楼梯","bouquet, vase, table, kitchen counter, kettle, chair, cup, stairs","dried flowers, vase, table, kitchen, stairs, home decor"
Qwen-VL,Object,4,"花园, 女性雕像, 绿色植物, 白色花朵, 树木, 灌木, 藤蔓","garden, female statue, green plants, white flowers, trees, shrubs, vines","garden statue, white roses, greenery, statue, flowers, garden"
Qwen-VL,Object,5,"太阳镜, 沙滩, 海洋, 天空, 自然, 风景, 景观, 光线, 颜色, 反射, 设计, 风格, 红色, 绿色, 黄色, 蓝色, 清晰度, 对比度, 图像质量, 视觉效果, 情感, 情绪, 感觉, 放松, 平静, 喜悦, 美丽, 宁静","sunglasses, beach, ocean, sky, nature, scenery, landscape, light, color, reflection, design, style, red, green, yellow, blue, clarity, contrast, image quality, visual effects, emotion, mood, feeling, relaxation, calm, joy, beauty, serenity","sunglasses, sand, beach"
Qwen-VL,Object,6,"背包,徒步杆,岩石,森林","backpack, hiking poles, rocks, forest","backpack, hiking poles, forest"
Qwen-VL,Object,7,"相机, 水, 建筑物, 天空","camera, water, buildings, sky","camera, tripod, water, cityscape"
Qwen-VL,Object,8,"篮子,草莓,野餐毯,草地,野花","basket, strawberries, picnic blanket, meadow, wildflowers","picnic basket, strawberries, blanket, grass, flowers"
Qwen-VL,Object,9,"橙色,沙滩椅,遮阳伞,海滩,度假,休闲,放松,海滨风光,旅游目的地,自然美景,晴朗天气,蓝天白云,海浪声,海风,阳光明媚,热带风情,海滨度假村,海滨别墅,海滨酒店,海滨度假胜地,海滨度假活动,海滨度假体验","Orange, beach chairs, umbrellas, beach, vacation, leisure, relaxation, seaside scenery, tourist destinations, natural beauty, sunny weather, blue sky and white clouds, sound of waves, sea breeze, sunny, tropical style, seaside resort, seaside villa, seaside Hotels, seaside resorts, seaside holiday activities, seaside holiday experiences","beach, chair, umbrella, sand, ocean"
Qwen-VL,People,0,"Bruno Mars, guitar, sunglasses, red jacket, stage, microphone, drums","Bruno Mars, guitar, sunglasses, red jacket, stage, microphone, drums","bruno mars, playing guitar, sunglasses, red jacket, stage"
Qwen-VL,People,1,"农民,大豆田,住宅区","farmer, soybean field, residential area","man, soybeans, field, houses"
