Model,Image,Chinese,Chinese (trans.),English
Qwen-VL,1,"士兵, 战争, 坦克, 破坏, 森林","soldier, war, tank, destruction, forest","tank, destroyed, forest"
Qwen-VL,2,"war, destruction, soldiers, rubble, debris, conflict, violence, military, uniforms, guns, helmets, boots, camouflage","war, destruction, soldiers, rubble, debris, conflict, violence, military, uniforms, guns, helmets, boots, camouflage","war, soldiers, rubble, destruction"
Qwen-VL,3,"坦克,士兵,雪地,战场,军事行动","tanks, soldiers, snow, battlefield, military operations","tank, snow, forest"
Qwen-VL,4,"坦克,士兵,射击,火光,战场,草地,天空,云彩,战争,冲突","tank,soldier,shooting,fire,battlefield,grass,sky,clouds,war,conflict","tank, fire, explosion, field, sky, clouds, grass"
Qwen-VL,5,"坦克, 军事装备, 雪地, 战斗准备, 军事训练, 人员操作, 武装力量","tank,soldier,shooting,fire,battlefield,grass,sky,clouds,war,conflict","tank, snow, person"
Qwen-VL,6,"坦克,射击,火焰,烟雾,战场,军事,武器,装甲车,行动,战争","tank,shooting,flame,smoke,battlefield,military,weapon,armored vehicle,action,war","tank, fire, smoke, field"
Qwen-VL,7,"士兵, 坦克, 战争, 军事, 武器, 武装冲突, 地点, 环境, 战斗, 防御, 保护, 安全","soldier, tank, war, military, weapon, armed conflict, location, environment, battle, defense, protection, security","soldier, tank, war"
Qwen-VL,8,乌克兰总统，军事人员，地下掩体，战争局势，国家领导，士兵，防护装备，团结一致,"President of Ukraine, military personnel, underground bunker, war situation, national leadership, soldiers, protective equipment, solidarity","ukraine, military, underground, cave"
Qwen-VL,9,"士兵, 枪, 火焰, 坦克, 战争, 战斗, 军事","soldier, gun, flame, tank, war, battle, military","Ukraine, war, tank, explosion, soldier"
Qwen-VL,10,"Ukrainian soldiers, training, field, machine gun, kneeling, standing, cloudy sky","Ukrainian soldiers, training, field, machine gun, kneeling, standing, cloudy sky","Ukrainian soldiers, weapons, training, field"
Qwen-VL,11,"Ukrainian soldiers, smoke, tank, hill","Ukrainian soldiers, smoke, tank, hill","Ukrainian soldiers, smoke, tank, hill, snow"
Qwen-VL,12,"坦克,士兵,枪,射击,战场,军事演习,战争机器,防御装备","tank, soldier, gun, shooting, battlefield, military exercise, war machine, defense equipment","tank, army, field"
Qwen-VL,13,"Ukrainian soldiers, Ukrainian flag, armored personnel carrier, blue sky, clouds","Ukrainian soldiers, Ukrainian flag, armored personnel carrier, blue sky, clouds","Ukrainian soldiers, flag, blue sky"
Qwen-VL,14,"Ukrainian soldiers, an artillery piece, a field, a blast, a gray sky","Ukrainian soldiers, an artillery piece, a field, a blast, a gray sky","Ukrainian soldiers, artillery, fire, cannon, field"
Qwen-VL,15,"乌克兰总统, 军事装备, 战斗人员, 建筑物废墟, 安全考虑","president of ukraine, military equipment, combatants, ruins of buildings, security concerns","ukraine, military, soldiers"
Qwen-VL,16,"Ukrainian soldiers, BMP-2 infantry fighting vehicle, ride, top, flag, wind, tree, cloudy day","Ukrainian soldiers, BMP-2 infantry fighting vehicle, ride, top, flag, wind, tree, cloudy day","Ukrainian soldiers, BMP-2, tank"
Qwen-VL,17,"乌克兰,炮兵,军事,战争,冲突,士兵,装甲车,导弹,爆炸","ukraine,artillery,military,war,conflict,soldiers,armored vehicles,missiles,explosion","rocket, launch, field, truck"
Qwen-VL,18,"炮火,爆炸,火焰,士兵,战场,战争,冲突,武器,装甲车","artillery fire, explosion, flames, soldiers, battlefield, war, conflict, weapons, armored vehicles","fire, explosion, smoke, tank, military, war, battle"
Qwen-VL,19,"坦克,道路,乌克兰国旗,士兵,车辆,树木,云彩,天空","tank, road, Ukrainian flag, soldier, vehicle, trees, clouds, sky","tank, road, trees, clouds"
Qwen-VL,20,"乌克兰,士兵,坦克,军事演习","ukraine, soldiers, tanks, military exercises","Ukrainian soldiers, tank, camouflage, military, training"
Qwen-VL,21,"损坏的坦克,道路,车辆,弹药","damaged tanks, roads, vehicles, ammunition","a tank, on the road, in the rain"
